Rk,Player,Pos,Age,PTS,AST,STL,BLK,Tm,G,GS,MP
1,Precious Achiuwa,C,22,9.1,1.1,0.5,0.6,TOR,73,28,23.6
2,Steven Adams,C,28,6.9,3.4,0.9,0.8,MEM,76,75,26.3
3,Bam Adebayo,C,24,19.1,3.4,1.4,0.8,MIA,56,56,32.6
4,Santi Aldama,PF,21,4.1,0.7,0.2,0.3,MEM,32,0,11.3
5,LaMarcus Aldridge,C,36,12.9,0.9,0.3,1,BRK,47,12,22.3
6,Nickeil Alexander-Walker,SG,23,10.6,2.4,0.7,0.4,TOT,65,21,22.6
6,Nickeil Alexander-Walker,SG,23,12.8,2.8,0.8,0.4,NOP,50,19,26.3
6,Nickeil Alexander-Walker,SG,23,3.5,1.1,0.3,0.3,UTA,15,2,9.9
7,Grayson Allen,SG,26,11.1,1.5,0.7,0.3,MIL,66,61,27.3
8,Jarrett Allen,C,23,16.1,1.6,0.8,1.3,CLE,56,56,32.3
9,Jose Alvarado,PG,23,6.1,2.8,1.3,0.1,NOP,54,1,15.4
10,Justin Anderson,SF,28,6.4,2.1,0.5,0.4,TOT,16,6,19.8
10,Justin Anderson,SF,28,4.3,2,0.3,0,CLE,3,0,15.7
10,Justin Anderson,SF,28,6.8,2.1,0.5,0.5,IND,13,6,20.7
11,Kyle Anderson,PF,28,7.6,2.7,1.1,0.7,MEM,69,11,21.5
12,Giannis Antetokounmpo,PF,27,29.9,5.8,1.1,1.4,MIL,67,67,32.9
13,Thanasis Antetokounmpo,SF,29,3.6,0.5,0.3,0.3,MIL,48,6,9.9
14,Carmelo Anthony,PF,37,13.3,1,0.7,0.8,LAL,69,3,26
15,Cole Anthony,PG,21,16.3,5.7,0.7,0.3,ORL,65,65,31.7
16,OG Anunoby,SF,24,17.1,2.6,1.5,0.5,TOR,48,48,36
18,Trevor Ariza,SF,36,4,1.1,0.5,0.3,LAL,24,11,19.3
19,D.J. Augustin,PG,34,5.4,2.2,0.3,0,HOU,34,2,15
